"id","filename","git_pdf_template_type","industry_category_key","language","summary_of_changes","pdf_publication_date","accessibility_links","permalink","git_date_updated","language_code","industry_category_label"
"guidance-agriculture--hmn.pdf","guidance-agriculture--hmn.pdf","Guidance","agriculture","Hmong","","","""NTHUAV QHIA"" | ""https://files.covid19.ca.gov/pdf/guidance-agriculture--hmn.pdf#page=2""
""LUB HOM PHIAJ"" | ""https://files.covid19.ca.gov/pdf/guidance-agriculture--hmn.pdf#page=3""
""Yuav Tau Siv Cov Ntaub Npog Qhov Ncauj Qhov Ntswg"" | ""https://files.covid19.ca.gov/pdf/guidance-agriculture--hmn.pdf#page=3""","https://files.covid19.ca.gov/pdf/guidance-agriculture--hmn.pdf","2020-08-06 12:05:20 -0700","hmn","Agriculture and livestock"
"guidance-agriculture--ko.pdf","guidance-agriculture--ko.pdf","Guidance","agriculture","Korean","","","","https://files.covid19.ca.gov/pdf/guidance-agriculture--ko.pdf","2020-08-06 12:05:20 -0700","ko","Agriculture and livestock"
"guidance-agriculture--th.pdf","guidance-agriculture--th.pdf","Guidance","agriculture","Thai","","","","https://files.covid19.ca.gov/pdf/guidance-agriculture--th.pdf","2020-08-06 12:05:20 -0700","th","Agriculture and livestock"
"guidance-agriculture--en.pdf","guidance-agriculture--en.pdf","Guidance","agriculture","English","","","""Overview"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=2
""PURPOSE"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=2
""Required Use of Face Coverings"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=3
""Workplace Specific Plan"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=4
""Topics for Worker Training"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=4
""Individual Control Measures and Screening"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=6
""Cleaning and Disinfecting Protocols"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=7
""Physical Distancing Guidelines"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=8
""Additional Guidelines"" | https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf#page=9","https://files.covid19.ca.gov/pdf/guidance-agriculture--en.pdf","2020-08-03 14:23:21 -0700","en","Agriculture and livestock"
"checklist-agriculture--en.pdf","checklist-agriculture--en.pdf","Checklist","agriculture","English","","","","https://files.covid19.ca.gov/pdf/checklist-agriculture--en.pdf","2020-09-10 11:55:01 -0700","en","Agriculture and livestock"
"guidance-agriculture--tl.pdf","guidance-agriculture--tl.pdf","Guidance","agriculture","Tagalog","","","","https://files.covid19.ca.gov/pdf/guidance-agriculture--tl.pdf","2020-08-06 12:05:20 -0700","tl","Agriculture and livestock"
"guidance-agriculture--ru.pdf","guidance-agriculture--ru.pdf","Guidance","agriculture","Russian","","","","https://files.covid19.ca.gov/pdf/guidance-agriculture--ru.pdf","2020-08-06 12:05:20 -0700","ru","Agriculture and livestock"
"guidance-agriculture--hy.pdf","guidance-agriculture--hy.pdf","Guidance","agriculture","Armenian","","","","https://files.covid19.ca.gov/pdf/guidance-agriculture--hy.pdf","2020-08-06 12:05:20 -0700","hy","Agriculture and livestock"
"guidance-agriculture--vi.pdf","guidance-agriculture--vi.pdf","Guidance","agriculture","Vietnamese","","","","https://files.covid19.ca.gov/pdf/guidance-agriculture--vi.pdf","2020-08-06 12:05:20 -0700","vi","Agriculture and livestock"
"guidance-agriculture--es.pdf","guidance-agriculture--es.pdf","Guidance","agriculture","Spanish","","","","https://files.covid19.ca.gov/pdf/guidance-agriculture--es.pdf","2020-08-06 12:05:20 -0700","es","Agriculture and livestock"
